Clean,Dirty
33,321
0,81
0,90
0,39
0,210
0,11
0,223
0,53
1,36
5,38
0,193
9,381
15,350
69,903
3,176
0,79
15,132
0,88
5,127
3,480
19,631
0,309
0,797
1,272
1,228
17,32
1,65
0,77
2,265
6,363
3,180
0,137
1,539
0,108
334,96
38,198
0,53
0,174
1,21
0,57
0,194
0,114
39,27
0,233
0,91
120,51
0,174
26,29
6,37
25,3509
2,136
0,1690
0,858
9,1659
10,1062
0,137
0,718
28,96
0,580
0,1036
0,110
1,271
1,123
3,291
5,1232
40,1122
0,72
0,88
7,179
0,386
7,15
0,17
0,492
19,276
11,241
1,252
0,430
2276,206
1,172
13,38
109,12742
13,903
5,466
0,679
961,2886
431,6110
176,990
0,5430
1,470
0,433
1,3126
1,523
0,576
0,371
0,1199
5,596
0,498
42,2110
0,118
1,2119
96,9648
0,466
0,419
0,177
0,1661
2,1340
1,1680
0,233
0,193
58,1985
7,5200
25,8576
0,101
2,328
2,383
17,154
57,1376
36,1928
1,478
11,284
32,184
29,800
30,1323
318,5784
30,1979
5,478
136,188
2,323
0,122
40,1258
23,435
153,2832
2,302
46,1105
18,694
195,1373
48,1030
0,92
0,66
49,119
0,18
107,272
0,117
9,317
2,78
2,78
9,11
100,1030
32,224
24,186
9,577
16,570
21,205
41,176
89,637
603,1073
8,98
7,135
1,48
55,135
91,392
15,351
112,216
0,217
14,770
45,143
80,621
146,417
62,402
19,80
140,448
209,883
13,204
3,42
4,299
8,329
67,246
520,514
63,418
0,78
3,75
33,202
6,87
144,209
91,161
74,321
719,542
48,210
23,42
35,48
9,192
14,77
12,194
14,227
3,987
14,324
11,73
15,439
39,202
192,886
63,724
193,241
63,964
14,189
53,236
6,264
92,301
348,2083
1516,466
898,817
1193,532
38,941
51,470
185,2925
1,271
7,43
19,116
45,327
8,72
51,248
163,413
6,26
31,24
2,72
27,120
22,241
3,22
23,210
7,397
4,65
194,879
84,834
3,377
57,702
145,678
3,189
39,255
100,256
0,446
405,1189
89,251
25,295
335,648
13,408
0,291
1039,733
4,382
77,816
27,295
9,127
180,565
1751,1163
868,185
1258,684
1519,564
916,267
10,100
39,198
514,186
176,225
425,401
161,362
34,268
219,62
164,78
319,71
17,538
3467,2598
487,595
214,471
195,99
199,200
1348,1427
77,480
55,39
1,797
301,2526
284,265
381,787
58,439
232,560
176,1623
36,1820
318,121
338,3314
159,243
3136,1062
179,1344
47,1097
1,32
821,390
133,539
493,218
2,30
87,1780
9,772
3106,1836
6,545
187,272
239,1080
0,369
368,725
45,1222
5,689
477,917
106,741
85,1488
24,1247
0,423
504,380
217,846
0,1357
12,1282
7,360
6,372
22,298
3,63
0,52
101,520
136,451
85,422
46,231
30,164
3,29
21,128
0,39
0,104
0,97
10,119
293,410
146,232
9,62
