LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes,
USA,CPI,TOT,IDX2015,A,2000,72.65302,,
USA,CPI,TOT,IDX2015,A,2001,74.70631,,
USA,CPI,TOT,IDX2015,A,2002,75.89118,,
USA,CPI,TOT,IDX2015,A,2003,77.61398,,
USA,CPI,TOT,IDX2015,A,2004,79.69189,,
USA,CPI,TOT,IDX2015,A,2005,82.39564,,
USA,CPI,TOT,IDX2015,A,2006,85.05367,,
USA,CPI,TOT,IDX2015,A,2007,87.47998,,
USA,CPI,TOT,IDX2015,A,2008,90.83842,,
USA,CPI,TOT,IDX2015,A,2009,90.51545,,
USA,CPI,TOT,IDX2015,A,2010,91.99994,,
USA,CPI,TOT,IDX2015,A,2011,94.90424,,
USA,CPI,TOT,IDX2015,A,2012,96.86812,,
USA,CPI,TOT,IDX2015,A,2013,98.28708,,
USA,CPI,TOT,IDX2015,A,2014,99.88152,,
USA,CPI,TOT,IDX2015,A,2015,100,,
USA,CPI,TOT,IDX2015,A,2016,101.2616,,
USA,CPI,TOT,IDX2015,A,2017,103.4186,,
USA,CPI,TOT,IDX2015,A,2018,105.9446,,
USA,CPI,TOT,IDX2015,A,2019,107.8646,,
USA,CPI,TOT,IDX2015,A,2020,109.1952,,
USA,CPI,TOT,IDX2015,A,2021,114.325,,
OECD,CPI,TOT,IDX2015,A,2000,71.18986,,
OECD,CPI,TOT,IDX2015,A,2001,73.80304,,
OECD,CPI,TOT,IDX2015,A,2002,75.85542,,
OECD,CPI,TOT,IDX2015,A,2003,77.73691,,
OECD,CPI,TOT,IDX2015,A,2004,79.61118,,
OECD,CPI,TOT,IDX2015,A,2005,81.71593,,
OECD,CPI,TOT,IDX2015,A,2006,83.89951,,
OECD,CPI,TOT,IDX2015,A,2007,86.03744,,
OECD,CPI,TOT,IDX2015,A,2008,89.25301,,
OECD,CPI,TOT,IDX2015,A,2009,89.75006,,
OECD,CPI,TOT,IDX2015,A,2010,91.36842,,
OECD,CPI,TOT,IDX2015,A,2011,93.97197,,
OECD,CPI,TOT,IDX2015,A,2012,96.08002,,
OECD,CPI,TOT,IDX2015,A,2013,97.62172,,
OECD,CPI,TOT,IDX2015,A,2014,99.32108,,
OECD,CPI,TOT,IDX2015,A,2015,100,,
OECD,CPI,TOT,IDX2015,A,2016,101.1968,,
OECD,CPI,TOT,IDX2015,A,2017,103.5054,,
OECD,CPI,TOT,IDX2015,A,2018,106.2038,,
OECD,CPI,TOT,IDX2015,A,2019,108.4003,,100
OECD,CPI,TOT,IDX2015,A,2020,109.8835,,101.368261895954
OECD,CPI,TOT,IDX2015,A,2021,114.2594,,105.405058842088
