MSN,YYYYMM,Value,Column_Order,Description,Unit
TETCBUS,194913,31.967775,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195013,34.598567,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195113,36.953661,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195213,36.726037,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195313,37.640598,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195413,36.61354,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195513,40.178285,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195613,41.721757,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195713,41.753909,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195813,41.60928,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,195913,43.422965,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196013,45.040732,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196113,45.690782,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196213,47.775047,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196313,49.588632,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196413,51.755425,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196513,53.953222,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196613,56.949167,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196713,58.89482,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196813,62.40148,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,196913,65.596259,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,197013,67.816828,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,197113,69.260271,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,197213,72.660036,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,197313,75.65228,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,197413,73.929322,1,Total Primary Energy Consumption,Quadrillion Btu
TETCBUS,197513,71.931011,1,Total Primary Energy Consumption,Quadrillion Btu
