Year,Emmissions (KtC)
1801,73
1802,79
1803,81
1804,91
1805,93
1806,91
1807,103
1808,107
1809,110
1810,114
1811,122
1812,132
1813,142
1814,153
1815,164
1816,181
1817,196
1818,213
1819,208
1820,216
1821,226
1822,236
1823,246
1824,277
1825,310
1826,359
1827,395
1828,435
1829,490
1830,570
1831,618
1832,825
1833,963
1834,923
1835,1178
1836,1291
1837,1448
1838,1373
1839,1506
1840,1603
1841,1696
1842,1888
1843,2119
1844,2540
1845,3058
1846,3469
1847,4113
1848,4581
1849,4973
1850,5402
1851,6723
1852,7312
1853,8232
1854,9050
1855,10415
1856,10927
1857,11205
1858,11367
1859,12369
1860,12947
1861,12467
1862,12950
1863,14959
1864,16009
1865,16054
1866,16166
1867,19887
1868,22476
1869,25572
1870,26916
1871,28117
1872,34472
1873,38075
1874,36653
1875,37049
1876,36250
1877,40168
1878,39275
1879,47890
1880,54226
1881,57367
1882,64245
1883,69291
1884,73032
1885,74280
1886,78456
1887,83892
1888,102040
1889,91578
1890,109647
1891,116655
1892,122939
1893,123934
1894,116007
1895,130990
1896,131245
1897,136541
1898,148832
1899,170724
1900,180878
1901,196923
1902,208650
1903,244106
1904,240235
1905,268695
1906,282025
1907,328003
1908,286838
1909,317509
1910,346405
1911,342900
1912,366051
1913,393044
1914,359088
1915,372617
1916,413826
1917,455368
1918,476415
1919,403098
1920,466592
1921,381853
1922,385304
1923,509896
1924,454039
1925,466191
1926,505208
1927,491472
1928,485647
1929,523634
1930,465911
1931,398382
1932,338219
1933,361931
1934,385412
1935,400981
1936,461143
1937,480752
1938,403681
1939,445514
1940,506732
1941,553466
1942,592489
1943,612491
1944,652733
1945,631014
1946,608629
1947,671101
1948,699510
1949,589091
1950,692124
1951,712983
1952,694618
1953,711175
1954,677689
1955,742828
1956,778631
1957,772001
1958,748069
1959,770642
1960,788300
1961,785521
1962,814619
1963,850622
1964,887918
1965,924713
1966,971333
1967,1007829
1968,1044820
1969,1097559
1970,1180503
1971,1188102
1972,1244874
1973,1300844
1974,1254019
1975,1201617
1976,1258004
1977,1293235
1978,1333273
1979,1336344
1980,1287475
1981,1235831
1982,1172784
1983,1182145
1984,1219069
1985,1223469
1986,1224755
1987,1277456
1988,1333151
1989,1350173
1990,1330618
1991,1328126
1992,1329699
1993,1409186
1994,1425464
1995,1428407
1996,1457189
1997,1500236
1998,1485977
1999,1507540
2000,1558072
2001,1527507
2002,1541030
2003,1549404
2004,1579156
2005,1588872
2006,1564622
2007,1589071
2008,1546903
