Indicator Name,Indicator Code,Country Name,Country Code,2008,2009,2010,2011
GDP (constant 2000 US$),NY.GDP.MKTP.KD,World,WLD,4.06E+13,3.97E+13,4.13E+13,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Afghanistan,AFG,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Albania,ALB,5740574515,5930013474,6137563946,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Algeria,DZA,74839230786,76410854632,78708051653,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,American Samoa,ASM,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Andorra,ADO,1812015179,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Angola,AGO,24725314324,25318721868,25901052471,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Antigua and Barbuda,ATG,1244128172,1104101839,1046712839,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Argentina,ARG,3.95E+11,3.98E+11,4.34E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Armenia,ARM,4680316716,4018052433,4102285513,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Aruba,ABW,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Australia,AUS,5.43E+11,5.51E+11,5.63E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Austria,AUT,2.28E+11,2.19E+11,2.24E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Azerbaijan,AZE,18499278246,20219711123,21230696679,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Bahamas, The",BHS,5829977168,5515158401,5564794827,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Bahrain,BHR,13159972968,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Bangladesh,BGD,73983829245,78231358239,82979485251,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Barbados,BRB,2662289725,2521188369,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Belarus,BLR,24103693966,24143111980,25980491900,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Belgium,BEL,2.69E+11,2.61E+11,2.67E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Belize,BLZ,1188200000,1188800000,1223250000,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Benin,BEN,3121014404,3239612952,3336801340,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Bermuda,BMU,4643800878,4267653007,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Bhutan,BTN,838356460,894764298.2,961365501.9,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Bolivia,BOL,11373495913,11755304106,12240412986,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Bosnia and Herzegovina,BIH,8388323119,8144222917,8209376700,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Botswana,BWA,8248658045,7841729297,8405868745,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Brazil,BRA,8.58E+11,8.52E+11,9.16E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Brunei Darussalam,BRN,6817818067,6697458250,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Bulgaria,BGR,20285749709,19170033475,19208373542,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Burkina Faso,BFA,4022856804,4163655687,4548468401,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Burundi,BDI,898759823.6,930216417.4,966494857.7,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Cambodia,KHM,7438427180,7444876071,7888819881,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Cameroon,CMR,13287179562,13552923153,13905299155,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Canada,CAN,8.70E+11,8.46E+11,8.73E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Cape Verde,CPV,865052253.1,895902693.7,944370323.7,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Cayman Islands,CYM,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Central African Republic,CAF,1003389633,1020447256,1054122016,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Chad,TCD,3017944723,2969657608,3097352885,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Channel Islands,CHI,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Chile,CHL,1.05E+11,1.03E+11,1.08E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,China,CHN,2.69E+12,2.94E+12,3.25E+12,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Colombia,COL,1.42E+11,1.44E+11,1.50E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Comoros,COM,237840250.7,242145965.6,247231030.9,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Congo, Dem. Rep.",ZAR,6211864821,6387933239,6850715769,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Congo, Rep.",COG,4335494474,4659307269,5067059617,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Costa Rica,CRI,23497907525,23194573575,24175089457,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Cote d'Ivoire,CIV,10916239584,11325598568,11666499085,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Croatia,HRV,30147225799,28341089554,28003469442,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Cuba,CUB,48964412974,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Curacao,CUW,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Cyprus,CYP,12388312912,12181903864,12309142319,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Czech Republic,CZE,79155212395,75871098962,77651410138,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Denmark,DNK,1.78E+11,1.67E+11,1.69E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Djibouti,DJI,743620824.3,780798170.8,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Dominica,DMA,419679519,417806531.3,418049013.5,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Dominican Republic,DOM,36059049713,37304548928,40196106908,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Ecuador,ECU,24044518482,24131528013,24995823420,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Egypt, Arab Rep.",EGY,1.46E+11,1.52E+11,1.60E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,El Salvador,SLV,16120541019,15615477008,15838186519,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Equatorial Guinea,GNQ,5697997258,6001446516,6058175791,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Eritrea,ERI,652245861.8,677529602.1,692457271.6,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Estonia,EST,9416742907,8107920848,8359640258,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Ethiopia,ETH,15292022591,16636496551,18322929015,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Faeroe Islands,FRO,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Fiji,FJI,1936934580,1912289652,1918381682,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Finland,FIN,1.53E+11,1.40E+11,1.45E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,France,FRA,1.50E+12,1.46E+12,1.48E+12,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,French Polynesia,PYF,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Gabon,GAB,6035623996,5950386316,6287360043,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Gambia, The",GMB,549977713.3,583837329.1,613102926.8,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Georgia,GEO,5475261546,5268528047,5604011079,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Germany,DEU,2.10E+12,2.00E+12,2.07E+12,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Ghana,GHA,7816530776,8180601366,8722164062,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Gibraltar,GIB,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Greece,GRC,1.65E+11,1.59E+11,1.54E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Greenland,GRL,1235683939,1168808893,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Grenada,GRD,609884867.7,558995529,554361767.7,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Guam,GUM,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Guatemala,GTM,25907634307,26049424938,26774387795,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Guinea,GIN,4041047914,4029726803,4107607446,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Guinea-Bissau,GNB,229323638.9,236193584.8,244395462.7,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Guyana,GUY,847040255.1,874992583.6,906492316.6,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Haiti,HTI,3799503074,3909120216,3711642006,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Honduras,HND,10520914743,10296774094,10582329897,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Hong Kong SAR, China",HKG,2.41E+11,2.35E+11,2.51E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Hungary,HUN,59698693168,55640003180,56340039480,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Iceland,ISL,12048292689,11244371724,10794609986,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,India,IND,8.12E+11,8.85E+11,9.63E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Indonesia,IDN,2.47E+11,2.59E+11,2.74E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Iran, Islamic Rep.",IRN,1.55E+11,1.58E+11,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Iraq,IRQ,22443334374,23385954418,23583402031,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Ireland,IRL,1.33E+11,1.24E+11,1.23E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Isle of Man,IMY,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Israel,ISR,1.61E+11,1.62E+11,1.70E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Italy,ITA,1.19E+12,1.13E+12,1.15E+12,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Jamaica,JAM,10276559430,9963552608,9903771292,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Japan,JPN,5.14E+12,4.82E+12,5.01E+12,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Jordan,JOR,14523640730,14861364471,15323100298,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kazakhstan,KAZ,37305454672,37753120128,40509097897,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kenya,KEN,17530752659,17985175222,18938389509,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kiribati,KIR,75173029.04,74681961.2,76026236.5,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Korea, Dem. Rep.",PRK,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,"Korea, Rep.",KOR,7.51E+11,7.54E+11,8.00E+11,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kosovo,KSV,3154742430,3246229961,3376079159,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kuwait,KWT,,,,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Kyrgyz Republic,KGZ,2000825963,2058575694,2030624399,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Lao PDR,LAO,2948199301,3171011668,3470506471,
GDP (constant 2000 US$),NY.GDP.MKTP.KD,Latvia,LVA,13722705688,11258794724,11220120363,
