Concept,Country,Data Source,Frequency,Status,Time,Unit,Value
"Interest, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,9835027870.00
"Compensation of Employees, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,63365487330.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,13868800000.00
"Grants, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Social Benefits, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,79160200000.00
"Other Expense, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,23868200000.00
"Use of Goods and Services, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,143827000000.00
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,4426052770.00
"Social Security Benefits, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,63328700000.00
"Social Assistance Benefits, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,15831400000.00
"Employer Social Benefits, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Property Expense Other than Interest, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,0.00
"Miscellaneous Other Expense, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,23868200000.00
"Total Expenditure, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,National Currency,388501000000.00
"Interest, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.52
"Compensation of Employees, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,3.32
"Subsidies and Transfers, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.73
"Grants, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.00
"Social Benefits, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,4.15
"Other Expense, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,1.25
"Use of Goods and Services, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,7.54
"To Non-residents, Foreign Interest, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,0.23
"Social Security Benefits, Cash (Gen. Govt.)",Armenia,Government Finance Statistics (GFS),Annual,Published,2004,Percent of GDP,3.32
