Concept,Country,Data Source,Frequency,Status,Time,Unit,Value
"Gross Domestic Product, Nominal",Albania,International Financial Statistics (IFS),Annual,Published,2003,National Currency,694097162436.82
"Gross Domestic Product, Nominal",Albania,International Financial Statistics (IFS),Annual,Published,2004,National Currency,751021596505.64
"Compensation of Employees, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,61018194578.67
"Expense, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,186822719275.07
"Grants, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,127032551.00
"Gross Domestic Product, Nominal",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,814796707884.41
"Interest, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,26028916339.00
"Other Expense, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,59114907114.28
"Social Benefits, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,10218313990.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,3739346500.00
"Total expenditure, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,232061327671.67
"Use of Goods and Services, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2005,National Currency,26576008202.12
"Compensation of Employees, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,64474747895.69
"Expense, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,198866299148.17
"Grants, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,146353902.40
"Gross Domestic Product, Nominal",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,882208789416.76
"Interest, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,25005576802.47
"Other Expense, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,65566974443.70
"Social Benefits, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,13775035800.00
"Subsidies and Transfers, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,3928948500.00
"Total expenditure, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,258666752644.46
"Use of Goods and Services, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2006,National Currency,25968661803.90
"Compensation of Employees, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2007,National Currency,67509629221.23
"Expense, Cash (Gen. Govt.)",Albania,International Financial Statistics (IFS),Annual,Published,2007,National Currency,222061079729.49
"Gross Domestic Product, Nominal",Albania,International Financial Statistics (IFS),Annual,Published,2007,National Currency,967670033656.07
